1,_,是正品,真伪,正面
1,_,白嫩,功效,正面
1,_,不错,整体,正面
2,颜色,明显,使用体验,负面
3,_,挺细腻,使用体验,正面
4,_,还行,整体,正面
5,_,不错,功效,正面
6,_,很细腻,使用体验,正面
6,_,贴合肤色,使用体验,正面
6,_,提亮了肌肤,功效,正面
6,_,很好,整体,正面
7,_,特别好用,功效,正面
7,_,很喜欢,整体,正面
8,_,好评,整体,正面
9,_,还可以,使用体验,正面
10,_,不错,整体,正面
11,_,不错,整体,正面
11,_,没有油腻,使用体验,正面
11,_,很清爽,使用体验,正面
11,_,水润,使用体验,正面
12,包装,一般,包装,中性
12,_,还行,包装,正面
13,_,一般般,整体,中性
14,_,不错,整体,正面
15,物流速度,快,物流,正面
15,包装质量,裂了,包装,负面
16,_,没以前的好用,功效,负面
17,发货速度,快,物流,正面
18,_,很喜欢,整体,正面
18,_,很好用,功效,正面
19,_,很好,整体,正面
19,_,不错,整体,正面
19,_,支持,整体,正面
19,_,给力,整体,正面
19,_,大赞一个,整体,正面
19,_,喜欢,整体,正面
20,_,自然,功效,正面
20,_,不油腻,使用体验,正面
21,_,挺好用的,功效,正面
21,_,好评,整体,正面
22,_,比较干净,功效,正面
23,_,很不错,整体,正面
23,_,很贴肤,使用体验,正面
23,_,细腻,使用体验,正面
24,_,不错,整体,正面
25,_,优惠,价格,正面
26,_,很好用,功效,正面
26,_,太贵了,价格,负面
26,_,有点干,使用体验,负面
27,_,真心不错,整体,正面
28,成膜,较慢,使用体验,负面
28,_,油腻,使用体验,负面
28,_,一般,功效,中性
29,_,很好用,功效,正面
29,_,很温和,使用体验,正面
30,_,还可以,整体,正面
30,_,有些发白,使用体验,负面
31,_,不错,整体,正面
31,_,非常好,功效,正面
32,_,好,整体,正面
32,卸妆,干净,功效,正面
32,_,好评,整体,正面
33,_,好用,使用体验,正面
33,_,很自然,使用体验,正面
34,_,快,物流,正面
34,_,很好,整体,正面
34,_,不错,使用体验,正面
35,_,有些不合适,使用体验,负面
35,_,有刺激性,使用体验,负面
35,_,有些痒,使用体验,负面
35,_,很不舒服,使用体验,负面
36,快递,很快,物流,正面
37,效果,很期待,功效,正面
37,速度,很快,物流,正面
37,_,很划算,价格,正面
38,_,很水润,功效,正面
38,包装,不错,包装,正面
39,物流,很快,物流,正面
39,快递小哥服务,很好,服务,正面
40,_,特别划得来,价格,正面
41,_,水水的,使用体验,正面
41,_,很好用,整体,正面
41,_,不紧绷,使用体验,正面
42,_,一般,整体,中性
43,_,挺好用的,使用体验,正面
43,酒精味,重,气味,负面
44,_,很喜欢,整体,正面
45,_,很好,整体,正面
46,_,还可以,整体,正面
47,_,非常不错,整体,正面
47,味道,没有刺鼻,气味,正面
47,_,很温和,使用体验,正面
48,_,还行,整体,中性
48,_,不错,整体,正面
49,发货,太垃圾了,包装,负面
49,_,不值这个价,价格,负面
50,香味,淡淡的,气味,正面
50,_,还不错,整体,正面
50,发票,不提供,服务,负面
51,_,不错,价格,正面
52,_,好用,使用体验,正面
52,_,显白,功效,正面
52,_,不油腻,使用体验,正面
53,价格,挺便宜的,价格,正面
54,_,不错,整体,正面
54,快递速度,快,物流,正面
54,快递小哥,点赞,服务,正面
55,_,很不错,整体,正面
55,_,实惠,价格,正面
56,_,很喜欢,整体,正面
57,_,不怎么好用,使用体验,负面
58,_,亲肤,使用体验,正面
58,_,柔和,使用体验,正面
58,_,满意,整体,正面
59,_,辣眼睛疼,使用体验,负面
60,_,非常好,整体,正面
60,_,很滑,功效,正面
60,_,很嫩,功效,正面
61,_,好,整体,正面
62,_,一擦就蹭下来了,使用体验,负面
62,_,不好用,使用体验,负面
63,_,特别合适,价格,正面
64,_,不错,整体,正面
65,质量,不错,其他,正面
65,送货师傅,很给力,物流,正面
66,物流,很快,物流,正面
67,_,好用,使用体验,正面
68,物流,非常快,物流,正面
68,包装,不错,包装,正面
69,快递,给力,物流,正面
70,_,还可以,整体,正面
71,_,保湿,功效,正面
71,_,滋润,功效,正面
71,_,挺好的,整体,正面
72,包装,很一般,包装,中性
73,_,过敏,使用体验,负面
73,_,长红色的疙瘩,使用体验,负面
74,_,不怎么滴,整体,负面
75,_,真心不错,整体,正面
75,活动,非常划算,价格,正面
75,_,温和,使用体验,正面
75,_,不刺激,使用体验,正面
76,_,很好用,使用体验,正面
77,_,好评,整体,正面
77,_,真的好好用,功效,正面
77,_,无刺激,使用体验,正面
78,价格,便宜,价格,正面
78,包装,不错,包装,正面
79,包装,很好,包装,正面
79,快递,快,物流,正面
80,补水效果,不会让我失望,功效,正面
80,_,会继续光顾的,整体,正面
81,_,很好用,功效,正面
82,_,不错,整体,正面
82,_,值得购买,整体,正面
82,物流,很快,物流,正面
82,_,值得信赖,整体,正面
83,_,还行,整体,正面
84,_,还不错,整体,正面
85,设计,很喜欢,包装,正面
86,修复,很好,功效,正面
86,_,很好用,功效,正面
86,_,光光滑的,使用体验,正面
86,_,超喜欢的,整体,正面
87,速度,很快,使用体验,正面
87,_,水润润,使用体验,正面
87,_,好评,整体,正面
88,_,很温和,使用体验,正面
88,_,很清爽,使用体验,正面
88,_,不紧绷,使用体验,正面
88,_,很划算,价格,正面
89,_,非常好用,使用体验,正面
90,_,不错,整体,正面
91,_,挺好的,整体,正面
91,_,不错的,整体,正面
92,_,_,_,_
93,_,很好用,功效,正面
93,味道,特别好闻,气味,正面
93,_,很细腻,使用体验,正面
94,价格,优惠,价格,正面
94,_,满意,整体,正面
95,_,挺好的,整体,正面
96,_,特别滑,使用体验,正面
96,_,好评,整体,正面
97,包装,精美,包装,正面
97,价格,实惠,价格,正面
98,隔离,很不错,功效,正面
98,_,非常喜欢,整体,正面
98,快递,给力的很,物流,正面
99,补水效果,较好,功效,正面
100,补水效果,特别好,功效,正面
100,_,特别水润,使用体验,正面
101,性价比,高,价格,正面
101,_,还可以,整体,正面
102,味道,淡淡的,气味,正面
102,_,不油腻,使用体验,正面
103,_,很喜欢,整体,正面
103,_,水水的,使用体验,正面
104,_,可以,整体,正面
104,_,便宜,价格,正面
104,_,实惠,价格,正面
105,_,还可以,整体,正面
105,膜,太硬了,使用体验,负面
106,_,好用,功效,正面
106,_,超级好用,功效,正面
107,_,很不错,整体,正面
108,_,不错,整体,正面
109,送货,快,物流,正面
110,爽身粉的味道,还行,气味,正面
111,_,还不错,整体,正面
111,性价比,很高,价格,正面
112,_,是正品,真伪,正面
112,香味,浓郁,气味,正面
112,遮瑕效果,非常好,功效,正面
113,保湿效果,不错,功效,正面
113,_,挺好用的,使用体验,正面
114,_,非常好用,使用体验,正面
115,_,很好用,功效,正面
116,_,值得信赖,整体,正面
117,_,很快,物流,正面
117,_,挺好的,整体,正面
118,价格,合适,价格,正面
118,_,不贵,价格,正面
118,_,好用,功效,正面
119,_,是正品,真伪,正面
119,性价比,最高,价格,正面
119,_,很好用,功效,正面
119,物流,很快,物流,正面
120,_,挺好的,功效,正面
120,_,不错,功效,正面
121,_,挺好的,整体,正面
122,味道,不好闻,气味,负面
122,_,很次,气味,负面
122,_,很勉强,整体,负面
123,_,可以,整体,正面
124,_,确实很好用,使用体验,正面
125,_,好用,功效,正面
125,_,不贵,价格,正面
126,_,不错,功效,正面
126,_,好用,功效,正面
